tick,timestamp,gas_read_ms,temp_read_ms,fusion_ms,actuation_ms,mqtt_publish_ms,total_loop_ms,budget_ok
695,14:52:40,0.015,0.001,0.017,0.008,0.002,0.044,True
696,14:52:40,0.02,0.001,0.019,0.009,0.002,0.052,True
697,14:52:40,0.016,0.001,0.018,0.008,0.002,0.045,True
698,14:52:40,0.02,0.001,0.018,0.008,0.137,0.186,True
699,14:52:40,0.016,0.001,0.021,0.009,0.002,0.05,True
700,14:52:40,0.015,0.001,0.017,0.009,0.002,5.146,True
701,14:52:40,0.035,0.003,5.106,0.015,0.003,5.165,True
702,14:52:40,0.017,0.001,0.019,0.009,0.002,0.049,True
703,14:52:41,0.013,0.001,0.015,0.008,0.001,0.039,True
704,14:52:41,0.023,0.002,0.029,0.011,0.002,0.069,True
705,14:52:41,0.018,0.001,0.03,0.01,0.002,0.063,True
706,14:52:41,0.021,0.001,0.022,0.012,0.002,0.059,True
707,14:52:41,0.016,0.001,0.019,0.01,0.002,0.05,True
708,14:52:41,0.019,0.001,0.025,0.011,0.002,0.06,True
709,14:52:41,0.016,0.001,0.028,0.01,0.002,0.058,True
710,14:52:41,0.015,0.001,0.027,0.009,0.002,0.102,True
711,14:52:41,0.04,0.003,0.046,0.015,0.004,0.109,True
712,14:52:41,0.021,0.002,0.031,0.011,0.002,0.068,True
713,14:52:42,0.018,0.001,0.03,0.01,0.002,0.061,True
714,14:52:42,0.034,0.003,0.044,0.013,0.003,0.1,True
715,14:52:42,0.023,0.002,0.027,0.01,0.002,0.066,True
716,14:52:42,0.023,0.002,0.026,0.013,0.002,0.068,True
717,14:52:42,0.018,0.001,0.027,0.01,0.002,0.059,True
718,14:52:42,0.02,0.002,0.027,0.012,0.002,0.064,True
719,14:52:42,0.016,0.001,0.029,0.01,0.002,0.058,True
720,14:52:42,0.015,0.001,0.026,0.01,0.002,0.102,True
721,14:52:42,0.038,0.003,0.047,0.014,0.003,0.107,True
722,14:52:42,0.02,0.002,0.025,0.01,0.002,0.059,True
723,14:52:43,0.055,0.004,5.11,5.094,0.004,10.269,True
724,14:52:43,0.02,0.001,5.084,5.071,0.002,10.18,True
725,14:52:43,0.016,0.001,5.084,0.012,0.002,5.115,True
726,14:52:43,0.016,0.001,0.029,0.008,0.002,0.057,True
727,14:52:43,0.017,0.001,0.018,0.008,0.002,0.047,True
728,14:52:43,0.017,0.001,0.019,0.008,0.002,0.049,True
729,14:52:43,0.016,0.001,0.02,0.009,0.002,0.049,True
730,14:52:43,0.015,0.001,0.019,0.009,0.001,0.077,True
731,14:52:43,0.038,0.003,0.047,0.013,0.003,0.107,True
732,14:52:43,0.019,0.001,0.022,0.008,0.002,0.054,True
733,14:52:44,0.031,0.003,0.036,0.01,0.002,0.083,True
734,14:52:44,0.018,0.001,0.021,0.008,0.002,0.051,True
735,14:52:44,0.015,0.001,0.017,0.008,0.002,0.044,True
736,14:52:44,0.017,0.001,0.017,0.009,0.002,0.048,True
737,14:52:44,0.017,0.001,0.017,0.01,0.002,0.048,True
738,14:52:44,0.016,0.001,0.021,0.009,0.002,0.05,True
739,14:52:44,0.017,0.001,0.017,0.009,0.002,0.047,True
740,14:52:44,0.015,0.001,0.015,0.007,0.001,0.084,True
741,14:52:44,0.039,0.003,0.048,0.013,0.003,0.108,True
742,14:52:44,0.021,0.001,0.024,0.009,0.002,0.058,True
743,14:52:45,0.031,0.002,0.037,0.011,0.003,0.085,True
744,14:52:45,0.017,0.001,0.021,0.008,0.002,0.05,True
745,14:52:45,0.015,0.001,0.016,0.007,0.002,0.042,True
746,14:52:45,0.017,0.001,0.018,0.009,0.001,0.048,True
747,14:52:45,0.015,0.001,0.025,0.009,0.002,0.053,True
748,14:52:45,0.014,0.001,5.076,0.009,0.001,5.103,True
749,14:52:45,0.015,0.001,0.019,0.008,0.001,0.045,True
750,14:52:45,0.015,0.001,0.018,0.009,0.002,0.079,True
751,14:52:45,0.038,0.004,0.05,0.014,0.004,0.112,True
752,14:52:46,0.023,0.001,0.028,0.009,0.002,0.066,True
753,14:52:46,0.027,0.002,0.033,0.011,0.003,0.077,True
754,14:52:46,0.017,0.001,0.028,0.009,0.002,0.058,True
755,14:52:46,0.015,0.001,0.016,0.01,0.002,0.045,True
756,14:52:46,0.015,0.001,0.016,0.009,0.002,0.044,True
757,14:52:46,0.015,0.001,0.015,0.009,0.002,0.043,True
758,14:52:46,0.015,0.001,0.018,0.009,0.002,0.045,True
759,14:52:46,0.016,0.001,0.021,0.009,0.002,0.049,True
760,14:52:46,0.015,0.001,0.021,0.008,0.002,0.079,True
